data,precipitacao_mean,pressao_atm_mean,temperatura_ar_mean,umidade_rel_mean,faixa_temperatura,pm10_mean,so2_mean,no2_mean,o3_mean,co_mean,IQAr,qualidade_do_ar,volume_internacoes,volume_mortes
2020-01-01,0.0,999.8,27.14,74.12,Quente (22-28°C),25.88,11.68,3.6,,,23.0,Boa,0,0
2020-01-02,0.06,1006.75,23.6,74.92,Quente (22-28°C),13.91,4.48,0.47,,,12.0,Boa,0,0
2020-01-03,0.03,1010.77,22.94,72.38,Quente (22-28°C),16.98,5.09,,,,15.0,Boa,4,2
2020-01-04,0.01,1007.6,23.78,71.67,Quente (22-28°C),17.31,4.93,,,,15.0,Boa,4,1
2020-01-05,0.0,1001.4,25.46,67.83,Quente (22-28°C),14.81,8.31,1.72,,,13.0,Boa,2,1
2020-01-06,0.01,998.54,28.02,62.29,Muito Quente (>28°C),19.74,15.81,5.51,,,18.0,Boa,4,1
2020-01-07,0.0,1001.96,26.23,69.92,Quente (22-28°C),23.76,9.04,5.12,,,21.0,Boa,0,0
2020-01-08,0.0,1004.68,25.32,65.62,Quente (22-28°C),27.78,6.13,3.51,,,25.0,Boa,0,0
2020-01-09,0.02,1002.92,28.78,63.75,Muito Quente (>28°C),31.55,13.64,5.67,24.47,,34.0,Boa,0,0
2020-01-10,0.74,1002.76,27.8,73.33,Quente (22-28°C),28.53,24.18,7.63,39.4,,26.0,Boa,5,1
2020-01-11,0.15,1004.28,26.02,81.33,Quente (22-28°C),11.74,6.47,2.48,37.03,,21.0,Boa,3,2
2020-01-12,0.0,1008.63,26.99,64.58,Quente (22-28°C),15.27,6.71,2.63,35.81,,22.0,Boa,0,0
2020-01-13,0.0,1010.45,25.13,67.04,Quente (22-28°C),30.45,7.28,4.54,29.64,,27.0,Boa,3,1
2020-01-14,0.0,1006.48,26.49,67.0,Quente (22-28°C),29.18,6.77,3.96,38.92,,33.0,Boa,0,0
2020-01-15,0.64,1001.4,27.99,68.96,Quente (22-28°C),35.09,15.98,6.99,31.34,,31.0,Boa,0,0
2020-01-16,0.12,1009.57,22.5,67.75,Quente (22-28°C),16.59,8.82,3.83,27.16,,15.0,Boa,3,2
2020-01-17,0.0,1015.45,20.67,59.5,Ameno (15-22°C),25.2,8.49,4.23,25.63,,22.0,Boa,2,2
2020-01-18,0.0,1012.62,23.22,62.71,Quente (22-28°C),28.88,8.67,4.18,31.96,,26.0,Boa,0,0
2020-01-19,0.0,1008.69,25.74,67.12,Quente (22-28°C),,,,,,20.0,Boa,3,1
2020-01-20,0.0,1005.12,27.37,67.33,Quente (22-28°C),,,,,,,Sem Dados,7,1
2020-01-21,0.29,1003.18,25.12,80.04,Quente (22-28°C),,,,,,,Sem Dados,0,0
2020-01-22,0.01,1005.6,23.9,75.17,Quente (22-28°C),,,,,,,Sem Dados,0,0
2020-01-23,0.08,1007.95,23.44,74.21,Quente (22-28°C),,,,,,,Sem Dados,2,1
2020-01-24,0.0,1006.19,23.89,70.38,Quente (22-28°C),,,,,,,Sem Dados,0,0
2020-01-25,0.01,1003.22,24.98,65.33,Quente (22-28°C),,,,,,,Sem Dados,0,0
2020-01-26,0.0,1002.89,27.92,57.88,Quente (22-28°C),,,,,,,Sem Dados,0,0
2020-01-27,0.66,1004.12,25.98,74.96,Quente (22-28°C),,,,,,,Sem Dados,4,2
2020-01-28,0.0,1006.51,24.88,71.79,Quente (22-28°C),,,,,,,Sem Dados,0,0
2020-01-29,0.1,1003.84,24.17,78.92,Quente (22-28°C),,,,,,,Sem Dados,0,0
2020-01-30,0.31,1003.34,24.81,80.96,Quente (22-28°C),,,,,,,Sem Dados,0,0
2020-01-31,0.16,1005.72,24.37,84.0,Quente (22-28°C),,,,,,,Sem Dados,4,1
2020-02-01,0.0,1008.8,24.6,75.46,Quente (22-28°C),,,,,,,Sem Dados,3,1
2020-02-02,0.0,1008.52,25.65,69.25,Quente (22-28°C),21.76,8.24,1.77,30.97,,21.0,Boa,0,0
2020-02-03,0.01,1009.79,25.72,71.75,Quente (22-28°C),18.96,7.21,2.4,33.15,,20.0,Boa,0,0
2020-02-04,0.0,1009.87,26.16,71.08,Quente (22-28°C),25.95,22.14,2.84,25.39,,23.0,Boa,0,0
2020-02-05,0.0,1008.12,27.33,67.12,Quente (22-28°C),23.48,4.31,2.3,25.46,,20.0,Boa,0,0
2020-02-06,0.0,1008.22,27.9,69.5,Quente (22-28°C),26.28,5.52,3.39,30.44,,23.0,Boa,0,0
2020-02-07,0.0,1007.06,27.95,70.67,Quente (22-28°C),24.63,4.85,3.4,29.27,,22.0,Boa,0,0
2020-02-08,1.19,1004.07,27.95,71.38,Quente (22-28°C),25.0,11.62,4.34,30.21,,23.0,Boa,0,0
2020-02-09,0.07,1007.18,24.31,75.79,Quente (22-28°C),12.4,6.0,2.13,24.92,,13.0,Boa,0,0
2020-02-10,0.0,1012.06,21.98,70.62,Ameno (15-22°C),16.9,6.19,4.38,24.27,,16.0,Boa,0,0
2020-02-11,0.0,1012.77,22.44,69.71,Quente (22-28°C),16.77,4.95,2.79,21.15,,15.0,Boa,0,0
2020-02-12,0.0,1010.76,23.66,68.96,Quente (22-28°C),15.96,5.11,3.26,25.04,,17.0,Boa,0,0
2020-02-13,0.0,1009.13,25.07,61.96,Quente (22-28°C),24.45,5.34,4.1,27.42,,21.0,Boa,0,0
2020-02-14,0.0,1006.36,25.8,61.71,Quente (22-28°C),36.71,16.23,7.19,25.66,,33.0,Boa,0,0
2020-02-15,0.01,1004.6,28.23,63.0,Muito Quente (>28°C),46.05,12.77,7.1,55.71,,41.0,Moderada,1,1
2020-02-16,0.0,1004.15,29.48,59.12,Muito Quente (>28°C),81.02,13.07,10.35,31.45,,66.0,Moderada,0,0
