,data,precipitacao,pressao_atm,radiacao,temperatura_ar,temperatura_orvalho,umidade_rel,vento_direcao,vento_rajada_max,vento_velocidade,temperatura_min,temperatura_max,pm10,so2,no2,o3,co,pm10_min,so2_min,no2_min,o3_min,co_min,pm10_max,so2_max,no2_max,o3_max,co_max,internacoes
0,2020-01-01,0.0083333333333333,999.4958333333334,1556.2066666666665,27.27083333333333,22.2625,74.75,237.375,5.9375,1.7833333333333332,25.0,31.7,25.880416666666672,11.683333333333332,3.603636363636364,,,6.0,4.83,0.47,,,78.7,19.3,9.1,,,7
1,2020-01-02,0.0583333333333333,1005.8541666666666,1742.9799999999998,23.870833333333337,19.225,75.625,143.70833333333334,8.079166666666667,2.4791666666666665,22.0,25.9,13.910416666666665,4.479583333333333,0.47,,,6.0,4.12,0.47,,,34.4,5.18,0.47,,,0
2,2020-01-03,0.025,1010.6416666666664,1312.16,22.966666666666665,17.3875,71.70833333333333,124.91666666666669,8.141666666666667,2.579166666666667,19.9,25.5,16.97952380952381,5.090000000000001,,,,6.0,4.39,,,,34.29,6.41,,,,4
3,2020-01-04,0.0083333333333333,1008.3291666666664,1625.1333333333334,23.73333333333333,18.1,71.83333333333333,109.5,8.054166666666667,2.4,20.8,27.2,17.307916666666667,4.931666666666667,,,,6.0,4.45,,,,38.49,6.59,,,,4
4,2020-01-05,0.0,1002.0708333333332,1890.1133333333332,25.28333333333333,18.266666666666666,67.83333333333333,122.66666666666669,4.945833333333334,1.625,19.8,31.5,14.810833333333337,8.312916666666666,1.72,,,6.0,5.21,0.47,,,38.23,25.39,3.34,,,2
5,2020-01-06,0.0,998.5333333333334,1782.6,27.7375,18.95,62.41666666666666,202.33333333333331,5.625,1.741666666666667,21.7,34.8,19.73541666666667,15.813333333333334,5.505217391304348,,,6.0,6.34,2.76,,,46.16,112.9,11.24,,,4
6,2020-01-07,0.0083333333333333,1001.3208333333332,1453.006666666667,26.495833333333337,20.495833333333334,71.125,182.25,5.2875,1.5166666666666666,23.4,29.6,23.75958333333333,9.04,5.122916666666666,,,6.0,5.14,2.31,,,47.45,22.0,11.24,,,7
7,2020-01-08,0.0,1004.85,1705.1266666666668,25.329166666666666,17.833333333333332,64.91666666666667,114.41666666666669,6.591666666666666,2.0166666666666666,20.8,30.1,27.78,6.13,3.51,,,27.78,6.13,3.51,,,27.78,6.13,3.51,,,2
8,2020-01-09,0.0,1002.9541666666668,2038.042857142857,28.42083333333333,19.820833333333333,62.833333333333336,171.79166666666666,4.45,1.5416666666666667,21.8,36.8,31.55260869565217,13.64391304347826,5.666956521739131,24.46941176470588,,13.65,5.5,1.89,0.98,,71.91,104.1,12.3,86.64,,3
9,2020-01-10,0.6,1002.6833333333334,1550.3428571428572,28.258333333333336,22.05416666666667,71.70833333333333,237.79166666666663,5.699999999999999,1.8583333333333332,22.7,34.9,28.525882352941174,24.17529411764706,7.631176470588237,39.40176470588235,,6.0,7.56,3.76,10.21,,51.54,54.0,13.14,66.71,,5
10,2020-01-11,0.3166666666666666,1003.9041666666666,1348.6533333333334,25.704166666666666,22.191666666666663,82.5,140.0,4.870833333333333,1.3833333333333335,22.6,30.3,11.743478260869566,6.467826086956522,2.4808695652173918,37.03130434782609,,6.0,5.03,0.97,19.82,,31.85,8.75,4.85,54.68,,4
11,2020-01-12,0.0,1008.1333333333332,1997.48,27.04583333333333,19.729166666666668,68.16666666666667,125.66666666666669,4.566666666666667,1.4916666666666665,22.4,31.8,15.27375,6.708749999999999,2.6323809523809523,35.81125,,6.0,4.96,0.47,15.3,,34.63,10.72,10.85,58.3,,3
12,2020-01-13,0.0,1010.4625,2006.8266666666668,25.454166666666666,18.08333333333333,65.04166666666667,114.83333333333331,5.120833333333333,1.7708333333333333,20.9,29.8,30.449583333333333,7.28375,4.5425,29.635416666666668,,12.57,4.85,0.47,0.98,,52.81,11.2,11.55,63.09,,4
13,2020-01-14,0.0,1007.3208333333332,2001.8533333333332,26.104166666666668,18.775,66.29166666666667,135.0,5.529166666666668,1.8458333333333328,20.4,33.7,29.181249999999995,6.767916666666667,3.956666666666667,38.91833333333333,,13.24,5.3,2.14,0.98,,62.07,9.8,7.15,114.9,,2
14,2020-01-15,0.3999999999999999,1001.7000000000002,1580.3857142857144,28.066666666666663,20.879166666666663,67.29166666666667,225.66666666666663,6.779166666666666,2.408333333333333,24.3,33.8,35.09458333333333,15.979166666666664,6.994166666666668,31.3425,,20.05,8.5,4.3,0.98,,50.69,51.58,13.42,64.5,,2
15,2020-01-16,0.3666666666666666,1007.9208333333332,901.5176470588236,23.22083333333333,17.166666666666668,71.5,204.79166666666663,7.2375,1.8541666666666667,22.0,24.4,16.586666666666666,8.818333333333333,3.8275,27.155416666666667,,6.0,5.31,0.95,12.82,,41.35,15.61,10.61,35.33,,4
16,2020-01-17,0.0,1015.4333333333332,1478.6466666666668,20.529166666666665,11.920833333333334,59.125,150.375,3.6916666666666655,1.1916666666666669,15.2,26.0,25.203333333333333,8.489166666666668,4.23125,25.62625,,13.22,5.24,1.29,0.98,,45.47,18.86,15.83,47.89,,2
17,2020-01-18,0.0,1013.1666666666666,1978.813333333333,22.975,14.683333333333332,61.083333333333336,109.20833333333331,4.929166666666666,1.6083333333333334,17.3,29.2,28.884545454545457,8.666818181818183,4.177272727272728,31.95863636363636,,13.55,5.54,1.43,2.08,,64.9,26.74,7.65,64.85,,1
18,2020-01-19,0.0,1009.1333333333332,1838.9466666666667,25.495833333333334,18.391666666666666,67.16666666666667,140.45833333333334,4.383333333333334,1.4125,19.4,32.3,,,,,,,,,,,,,,,,4
19,2020-02-02,0.0,1008.3916666666668,1742.857142857143,25.5125,19.125,69.125,125.70833333333331,5.3875,1.7791666666666668,20.5,30.0,21.76391304347826,8.235217391304346,1.771818181818182,30.97347826086957,,6.0,6.23,0.47,5.25,,37.55,10.44,2.81,56.23,,1
20,2020-02-03,0.0083333333333333,1009.6416666666664,1355.0142857142855,25.70833333333333,19.929166666666667,71.83333333333333,113.125,7.495833333333334,2.4041666666666663,22.6,30.4,18.96,7.21125,2.400416666666666,33.15083333333334,,6.0,5.98,1.22,20.54,,37.59,9.19,4.64,54.47,,3
21,2020-02-04,0.0,1010.0166666666668,1945.314285714286,26.133333333333336,20.016666666666666,70.875,104.29166666666669,7.7375,2.270833333333333,22.0,31.2,25.949444444444445,22.14208333333333,2.83625,25.39,,6.0,3.09,0.47,9.45,,49.56,323.1,11.0,48.77,,5
22,2020-02-05,0.0,1008.3125,2023.9142857142856,27.204166666666666,20.21666666666667,67.66666666666667,102.91666666666669,7.150000000000001,2.083333333333333,23.2,32.9,23.48333333333333,4.30875,2.3016666666666667,25.459166666666672,,6.0,2.9,0.47,10.81,,56.41,5.87,5.31,43.24,,2
23,2020-02-06,0.0,1008.1416666666668,1892.5857142857144,27.83333333333333,21.10833333333333,68.79166666666667,118.04166666666669,5.579166666666666,1.6708333333333332,23.1,33.4,26.2825,5.523333333333333,3.390833333333333,30.442916666666665,,6.0,3.47,1.26,7.15,,49.31,18.05,6.63,76.28,,2
24,2020-02-07,0.0,1007.3166666666666,1433.6714285714286,27.912500000000005,21.8375,71.20833333333333,124.45833333333331,6.045833333333334,1.8958333333333333,24.2,32.7,24.63166666666667,4.851249999999999,3.3974999999999995,29.274166666666662,,6.0,3.53,1.3,13.84,,50.53,7.02,7.16,56.13,,3
25,2020-02-08,1.1583333333333334,1004.3583333333332,1877.6928571428568,28.15,21.383333333333336,69.125,166.54166666666666,5.0375000000000005,1.4541666666666668,24.6,34.3,24.995416666666667,11.620416666666666,4.345,30.21125,,6.0,4.57,1.8,0.98,,55.69,32.9,8.19,78.76,,1
26,2020-02-09,0.0999999999999999,1006.2916666666666,1044.63125,24.60833333333333,20.47083333333333,79.41666666666667,178.0,6.6125,1.9875,23.0,26.3,12.3975,5.998333333333332,2.130416666666666,24.917916666666667,,6.0,3.96,0.47,10.73,,31.81,12.15,8.51,36.85,,0
27,2020-02-10,0.0,1011.8083333333334,1492.7857142857142,22.195833333333336,16.145833333333332,69.29166666666667,136.79166666666666,4.729166666666667,1.4875,18.9,25.1,16.9025,6.188333333333333,4.377083333333332,24.265833333333337,,6.0,2.89,1.08,0.98,,34.5,17.09,16.8,45.61,,5
28,2020-02-11,0.0,1012.8458333333334,1892.685714285714,22.32083333333333,16.4375,70.45833333333333,120.45833333333331,6.220833333333334,2.0333333333333337,18.5,25.8,16.771666666666665,4.947916666666667,2.7937499999999997,21.151666666666667,,6.0,2.92,0.47,0.98,,27.82,9.51,6.04,41.76,,1
29,2020-02-12,0.0,1011.1,1846.6357142857144,23.57916666666667,17.045833333333334,67.91666666666667,119.08333333333331,7.025,2.1333333333333333,19.5,27.9,15.959166666666668,5.11,3.262916666666667,25.037916666666664,,6.0,3.45,0.47,2.71,,36.68,9.39,7.01,47.66,,2
30,2020-02-13,0.0,1009.375,2001.107142857143,24.933333333333334,16.7,62.66666666666666,100.66666666666669,5.2,1.6166666666666665,20.1,31.9,24.449583333333333,5.33625,4.100416666666667,27.422083333333333,,6.0,3.02,2.21,0.98,,46.44,13.49,6.81,60.33,,3
31,2020-02-14,0.0,1006.7333333333332,1258.9615384615386,25.350000000000005,17.400000000000002,62.833333333333336,209.25,4.066666666666666,1.3416666666666668,20.7,30.0,36.70944444444444,16.22888888888889,7.190000000000001,25.662777777777777,,17.61,6.41,4.39,0.98,,73.15,66.08,12.96,57.31,,3
32,2020-02-15,0.0083333333333333,1004.7333333333332,1576.5071428571428,28.054166666666664,20.004166666666663,63.458333333333336,157.58333333333334,3.904166666666667,1.2166666666666666,24.1,33.5,46.05391304347826,12.76869565217391,7.097272727272727,55.712173913043486,,22.78,5.36,2.92,8.39,,97.14,35.19,16.96,112.0,,1
33,2020-02-16,0.0,1003.9583333333334,2083.784615384616,29.55,19.933333333333334,57.75,203.875,4.229166666666667,1.325,24.5,35.2,81.02,13.07,10.35,31.45,,81.02,13.07,10.35,31.45,,81.02,13.07,10.35,31.45,,2
34,2020-02-18,0.3999999999999999,1001.2916666666666,705.5857142857143,26.966666666666665,22.004166666666663,74.91666666666667,213.91666666666663,4.870833333333334,1.5583333333333331,25.1,31.2,23.433478260869567,11.074782608695651,7.501739130434783,21.405652173913044,,6.0,6.0,3.38,0.98,,38.93,21.12,14.76,51.54,,5
35,2020-02-19,0.0,1003.8875,1961.4076923076923,25.84166666666667,20.266666666666666,72.875,212.41666666666663,4.625,1.4583333333333333,23.0,29.6,6.0,10.64,8.79,15.04,,6.0,10.64,8.79,15.04,,6.0,10.64,8.79,15.04,,6
36,2020-02-20,0.0,1005.3041666666668,1837.223076923077,24.329166666666666,18.90416666666667,73.08333333333333,171.45833333333334,5.145833333333333,1.5708333333333335,20.5,28.6,25.173125,9.665,5.955,36.219375,,6.0,4.57,1.67,0.98,,45.53,21.19,12.42,91.74,,4
37,2020-02-21,0.0,1010.3625,1721.9538461538464,21.60833333333333,11.345833333333331,53.0,177.33333333333334,6.6875,1.8083333333333331,18.9,23.8,,,,,,,,,,,,,,,,5
38,2020-02-22,0.0,1013.8791666666666,1744.7384615384617,19.15416666666667,10.441666666666666,57.79166666666666,197.29166666666663,7.016666666666667,1.875,15.3,23.1,20.97826086956522,4.466086956521739,2.864347826086956,31.98260869565217,,6.0,3.63,0.47,12.52,,32.46,6.86,9.81,49.18,,3
39,2020-02-23,0.0,1013.1875,1744.723076923077,21.225,14.416666666666666,67.33333333333333,105.41666666666669,4.7125,1.475,16.2,26.0,19.0725,5.791666666666667,2.0954166666666665,27.035,,6.0,3.88,0.47,2.25,,31.65,8.63,5.28,43.41,,1
40,2020-02-24,0.0583333333333333,1006.2583333333332,1913.0846153846155,24.22083333333333,16.041666666666668,63.458333333333336,133.25,4.3500000000000005,1.2958333333333332,18.3,32.8,22.437083333333334,8.168333333333333,4.126666666666667,34.70666666666667,,6.0,5.05,2.45,0.98,,37.04,20.92,7.24,83.59,,0
41,2020-02-25,0.2333333333333333,1001.8666666666668,1776.3153846153846,25.945833333333336,20.22083333333333,72.45833333333333,227.79166666666663,4.545833333333333,1.375,22.8,32.2,22.16583333333333,12.305,4.722083333333333,31.512083333333333,,13.29,5.78,1.87,0.98,,32.63,30.25,11.58,83.58,,4
42,2020-02-26,1.4666666666666666,1004.2125,1448.9923076923078,21.954166666666666,17.325,77.41666666666667,158.1904761904762,7.910000000000001,1.8285714285714287,19.9,24.2,15.2725,5.597499999999999,3.700416666666667,25.35083333333333,,6.0,3.98,0.47,0.98,,44.65,12.21,11.11,34.71,,2
43,2020-02-27,0.0,1009.2708333333334,1847.0461538461536,20.566666666666663,14.054166666666667,68.33333333333333,160.375,3.2166666666666663,1.0416666666666667,15.9,25.5,26.95875,12.774166666666666,6.310416666666666,22.859583333333333,,6.0,5.03,2.52,0.98,,40.47,41.51,12.5,67.72,,3
