data,pm10,so2,no2,o3,co,pm10_min,so2_min,no2_min,o3_min,co_min,pm10_max,so2_max,no2_max,o3_max,co_max
2020-01-01,25.880416666666672,11.683333333333332,3.6036363636363635,,,6.0,4.83,0.47,,,78.7,19.3,9.1,,
2020-01-02,13.910416666666665,4.479583333333333,0.47,,,6.0,4.12,0.47,,,34.4,5.18,0.47,,
2020-01-03,16.97952380952381,5.090000000000001,,,,6.0,4.39,,,,34.29,6.41,,,
2020-01-04,17.307916666666667,4.931666666666667,,,,6.0,4.45,,,,38.49,6.59,,,
2020-01-05,14.810833333333335,8.312916666666666,1.72,,,6.0,5.21,0.47,,,38.23,25.39,3.34,,
2020-01-06,19.73541666666667,15.813333333333334,5.505217391304348,,,6.0,6.34,2.76,,,46.16,112.9,11.24,,
2020-01-07,23.759583333333335,9.040000000000001,5.122916666666666,,,6.0,5.14,2.31,,,47.45,22.0,11.24,,
2020-01-08,27.78,6.13,3.51,,,27.78,6.13,3.51,,,27.78,6.13,3.51,,
2020-01-09,31.55260869565217,13.64391304347826,5.666956521739131,24.46941176470588,,13.65,5.5,1.89,0.98,,71.91,104.1,12.3,86.64,
2020-01-10,28.525882352941178,24.17529411764706,7.631176470588237,39.40176470588235,,6.0,7.56,3.76,10.21,,51.54,54.0,13.14,66.71,
2020-01-11,11.743478260869566,6.467826086956522,2.4808695652173913,37.03130434782609,,6.0,5.03,0.97,19.82,,31.85,8.75,4.85,54.68,
2020-01-12,15.27375,6.708749999999999,2.6323809523809523,35.81125,,6.0,4.96,0.47,15.3,,34.63,10.72,10.85,58.3,
2020-01-13,30.449583333333333,7.28375,4.5424999999999995,29.635416666666668,,12.57,4.85,0.47,0.98,,52.81,11.2,11.55,63.09,
2020-01-14,29.181249999999995,6.767916666666667,3.956666666666667,38.91833333333333,,13.24,5.3,2.14,0.98,,62.07,9.8,7.15,114.9,
2020-01-15,35.09458333333333,15.979166666666664,6.9941666666666675,31.3425,,20.05,8.5,4.3,0.98,,50.69,51.58,13.42,64.5,
2020-01-16,16.586666666666666,8.818333333333333,3.8275,27.155416666666667,,6.0,5.31,0.95,12.82,,41.35,15.61,10.61,35.33,
2020-01-17,25.203333333333333,8.489166666666668,4.23125,25.626250000000002,,13.22,5.24,1.29,0.98,,45.47,18.86,15.83,47.89,
2020-01-18,28.884545454545457,8.666818181818183,4.177272727272728,31.95863636363636,,13.55,5.54,1.43,2.08,,64.9,26.74,7.65,64.85,
2020-01-19,,,,,,,,,,,,,,,
2020-02-02,21.76391304347826,8.235217391304346,1.771818181818182,30.97347826086957,,6.0,6.23,0.47,5.25,,37.55,10.44,2.81,56.23,
2020-02-03,18.959999999999997,7.21125,2.4004166666666666,33.15083333333334,,6.0,5.98,1.22,20.54,,37.59,9.19,4.64,54.47,
2020-02-04,25.949444444444445,22.142083333333332,2.8362499999999997,25.39,,6.0,3.09,0.47,9.45,,49.56,323.1,11.0,48.77,
2020-02-05,23.48333333333333,4.30875,2.3016666666666667,25.459166666666672,,6.0,2.9,0.47,10.81,,56.41,5.87,5.31,43.24,
2020-02-06,26.2825,5.523333333333333,3.390833333333333,30.442916666666665,,6.0,3.47,1.26,7.15,,49.31,18.05,6.63,76.28,
2020-02-07,24.63166666666667,4.851249999999999,3.3974999999999995,29.274166666666662,,6.0,3.53,1.3,13.84,,50.53,7.02,7.16,56.13,
2020-02-08,24.995416666666667,11.620416666666666,4.345,30.211249999999996,,6.0,4.57,1.8,0.98,,55.69,32.9,8.19,78.76,
2020-02-09,12.397499999999999,5.998333333333332,2.1304166666666666,24.917916666666667,,6.0,3.96,0.47,10.73,,31.81,12.15,8.51,36.85,
2020-02-10,16.9025,6.188333333333333,4.377083333333332,24.265833333333337,,6.0,2.89,1.08,0.98,,34.5,17.09,16.8,45.61,
2020-02-11,16.771666666666665,4.947916666666667,2.7937499999999993,21.151666666666667,,6.0,2.92,0.47,0.98,,27.82,9.51,6.04,41.76,
2020-02-12,15.959166666666667,5.11,3.262916666666667,25.037916666666664,,6.0,3.45,0.47,2.71,,36.68,9.39,7.01,47.66,
2020-02-13,24.449583333333333,5.33625,4.100416666666667,27.422083333333333,,6.0,3.02,2.21,0.98,,46.44,13.49,6.81,60.33,
2020-02-14,36.70944444444444,16.22888888888889,7.190000000000001,25.662777777777777,,17.61,6.41,4.39,0.98,,73.15,66.08,12.96,57.31,
2020-02-15,46.05391304347826,12.76869565217391,7.097272727272727,55.712173913043486,,22.78,5.36,2.92,8.39,,97.14,35.19,16.96,112.0,
2020-02-16,81.02,13.07,10.35,31.45,,81.02,13.07,10.35,31.45,,81.02,13.07,10.35,31.45,
2020-02-18,23.433478260869567,11.074782608695653,7.501739130434783,21.405652173913044,,6.0,6.0,3.38,0.98,,38.93,21.12,14.76,51.54,
2020-02-19,6.0,10.64,8.79,15.04,,6.0,10.64,8.79,15.04,,6.0,10.64,8.79,15.04,
2020-02-20,25.173125,9.665000000000001,5.955,36.219375,,6.0,4.57,1.67,0.98,,45.53,21.19,12.42,91.74,
2020-02-21,,,,,,,,,,,,,,,
2020-02-22,20.97826086956522,4.466086956521739,2.864347826086956,31.982608695652175,,6.0,3.63,0.47,12.52,,32.46,6.86,9.81,49.18,
2020-02-23,19.0725,5.791666666666667,2.0954166666666665,27.035,,6.0,3.88,0.47,2.25,,31.65,8.63,5.28,43.41,
2020-02-24,22.437083333333334,8.168333333333333,4.126666666666667,34.70666666666667,,6.0,5.05,2.45,0.98,,37.04,20.92,7.24,83.59,
2020-02-25,22.165833333333335,12.305,4.722083333333333,31.512083333333333,,13.29,5.78,1.87,0.98,,32.63,30.25,11.58,83.58,
2020-02-26,15.2725,5.597499999999999,3.700416666666667,25.35083333333333,,6.0,3.98,0.47,0.98,,44.65,12.21,11.11,34.71,
2020-02-27,26.95875,12.774166666666666,6.310416666666666,22.859583333333333,,6.0,5.03,2.52,0.98,,40.47,41.51,12.5,67.72,
2020-02-28,45.88,8.76,4.7,16.79,,45.88,8.76,4.7,16.79,,45.88,8.76,4.7,16.79,
2020-06-30,9.283043478260868,,,25.950869565217396,,6.0,,,9.99,,20.05,,,42.53,
2020-07-01,7.833749999999999,8.224347826086957,7.1705,31.722916666666666,,6.0,3.71,2.78,8.61,,15.08,45.1,18.95,43.96,
2020-07-02,11.968333333333334,5.69,8.461666666666666,27.0575,,6.0,0.65,2.25,0.98,,52.51,26.96,19.87,45.59,
2020-07-03,41.658125,24.2,10.352500000000001,15.365217391304347,,21.88,24.2,5.65,0.98,,86.23,24.2,18.0,46.5,
2020-07-04,52.12800000000001,20.454782608695652,9.614166666666668,17.608333333333334,,30.79,7.99,3.38,0.98,,77.07,40.31,20.4,61.04,
2020-07-05,59.41470588235294,32.30583333333333,12.942608695652174,4.5562499999999995,,35.12,18.15,5.83,0.98,,98.92,51.16,20.22,17.47,
2020-07-06,18.534583333333334,8.861666666666666,4.13,25.710416666666664,,6.0,4.94,4.13,15.55,,33.42,16.02,4.13,36.39,
2020-07-07,8.451666666666666,3.369166666666666,,39.4,,6.0,2.09,,39.4,,21.3,5.77,,39.4,
